country,bucket,n,share_of_bucket_pct
Kuwait,pb,78,0.03
Thailand,hidden_on_li,1,0.06
Netherlands,hidden_on_li,52,3.22
Czech Republic,hidden,51,0.2
Hong Kong,cb,2997,0.46
Cyprus,hidden,46,0.18
Venezuela,hidden,3,0.01
Bucharest,hidden,1,0.0
Slovenia,hidden,28,0.11
Zambia,hidden_on_li,1,0.06
Turkey,cb,7598,1.18
Rest of the world,hidden_on_li,1,0.06
Turkey,hidden,89,0.34
Brazil,hidden_on_li,20,1.24
LON 11.568161),hidden,1,0.0
Anguilla,cb,2,0.0
Bangladesh,cb,1719,0.27
Mali,cb,1,0.0
South,hidden_on_li,1,0.06
Beijing,hidden,2,0.01
France,cb,20224,3.13
Singapore,hidden_on_li,23,1.42
Democratic Republic of the Congo,hidden,2,0.01
Niigata Prefecture,hidden,1,0.0
Jordan,cb,419,0.06
Nicaragua,cb,1,0.0
Illinois,hidden,1,0.0
São Paulo,hidden,1,0.0
India,cb,54428,8.43
Cameroon,hidden,3,0.01
Hong Kong,hidden_on_li,11,0.68
Bahrain,hidden,1,0.0
Canada,hidden,503,1.94
Canada,cb,22246,3.45
Eswatini,hidden,1,0.0
Sri Lanka,hidden_on_li,1,0.06
Belarus,hidden,3,0.01
Montenegro,hidden,1,0.0
TÜRKİYE,hidden,1,0.0
Uruguay,hidden,1,0.0
Tamilnadu,hidden,1,0.0
El Salvador,cb,8,0.0
Portugal,hidden_on_li,7,0.43
Egypt,cb,1517,0.24
Ohio,hidden,1,0.0
University of Ljubljana,hidden,1,0.0
Brazil,hidden,160,0.62
Lebanon,pb,40,0.01
Ireland,pb,1283,0.46
Chernihiv,hidden,1,0.0
BC,hidden,3,0.01
Afghanistan,cb,1,0.0
Washington,hidden,1,0.0
Israel,hidden,198,0.76
Germany,pb,8349,2.97
Austria,pb,911,0.32
Lithuania,hidden,26,0.1
South Korea,pb,2706,0.96
Hungary,hidden_on_li,2,0.12
Bologna,hidden,1,0.0
Ontario,hidden,4,0.02
Hunan,hidden,1,0.0
Czech Republic,cb,2187,0.34
Rwanda,hidden,1,0.0
Ireland,hidden,74,0.28
Madhya Predesh,hidden,1,0.0
North Macedonia,cb,7,0.0
Malta,hidden,3,0.01
Türkiye,hidden,1,0.0
Switerland,hidden,1,0.0
The Netherlands,hidden_on_li,3,0.19
Lebanon,cb,487,0.08
Kenya,pb,230,0.08
California,hidden,13,0.05
Finland,cb,2910,0.45
Uganda,pb,82,0.03
Sichuan,hidden,1,0.0
Sweden,pb,4474,1.59
Tunisia,hidden,9,0.03
Portugal,hidden,112,0.43
Algeria,pb,17,0.01
Antigua and Barbuda,cb,1,0.0
Austria,hidden,101,0.39
Kazan,hidden,1,0.0
11.27507,hidden,1,0.0
Minnesota,hidden,1,0.0
North,hidden,1,0.0
Malaysia,cb,2106,0.33
Chile,cb,2193,0.34
Senegal,pb,30,0.01
Macao,cb,2,0.0
Qatar,pb,101,0.04
Luxembourg,pb,325,0.12
Kyrgyzstan,cb,4,0.0
Uzbekistan,cb,60,0.01
Estonia,hidden_on_li,2,0.12
Cambodia,cb,10,0.0
Peru,pb,199,0.07
Lithuania,cb,1106,0.17
Cayman Islands,cb,20,0.0
Iraq,hidden_on_li,1,0.06
China,cb,17876,2.77
Panama,hidden,1,0.0
Estonia,hidden,55,0.21
Botswana,cb,3,0.0
Saudi Arabia,cb,1335,0.21
Slovakia,hidden,13,0.05
Honduras,cb,2,0.0
Pakistan,hidden,57,0.22
Dominican Republic,hidden,1,0.0
Nigeria,hidden_on_li,22,1.36
