ai,ai_pct,country,founded_year,total
78,5.6,Australia,2015,1400
123,8.6,Australia,2016,1437
155,10.7,Australia,2017,1442
139,11.3,Australia,2018,1232
130,13.0,Australia,2019,999
114,11.8,Australia,2020,966
95,12.8,Australia,2021,742
57,15.5,Australia,2022,368
89,34.2,Australia,2023,260
39,36.8,Australia,2024,106
4,26.7,Australia,2025,15
82,6.5,Brazil,2015,1265
142,11.5,Brazil,2016,1236
159,12.5,Brazil,2017,1271
161,13.4,Brazil,2018,1200
105,11.3,Brazil,2019,929
104,12.4,Brazil,2020,840
98,17.8,Brazil,2021,552
62,22.1,Brazil,2022,280
63,33.9,Brazil,2023,186
38,51.4,Brazil,2024,74
4,25.0,Brazil,2025,16
240,12.0,Canada,2015,2000
306,14.9,Canada,2016,2049
370,16.7,Canada,2017,2215
397,18.2,Canada,2018,2183
