raw_name,canonical_name,domain,sim,ai,same_company,labeller
Beacon,Beacon AI,beaconai.co,1.0,True,,
Find AI,Find,finds.co.jp,1.0,True,,
Remove-bg,Remove-BG AI,remove-bg.ai,1.0,True,,
Soapbox,SoapBox.ai,soapbox.ai,1.0,True,,
Convect,Convect AI,convect.ai,1.0,True,,
Napkin,Napkin AI,thenapkinai.com,1.0,True,,
Spice.ai,Spice,spiceprotocol.xyz,1.0,True,,
Pony,Pony.ai,pony.ai,1.0,True,,
Zipy.ai,Zipy,zipy.co.il,1.0,True,,
Factual AI Q&A,Factual,factual.com,1.0,True,,
Ellie,Ellie.ai,ellie.ai,1.0,True,,
Discourse,discourse.ai,discourse.ai,1.0,True,,
Docu,Docu.ai,docu.ai,1.0,True,,
Darwin,Darwin AI,getdarwin.ai,1.0,True,,
CodeMate,CodeMate AI,codemate.ai,1.0,True,,
Trilogy,Trilogy AI,trilogyai.ca,1.0,True,,
AI OmniGen,Omnigen,omnigen.gr,1.0,True,,
PreCog AI,Precog,precog.com,1.0,True,,
Opper AI,Opper,opper.nl,1.0,True,,
AI Timeline,Timeline,timeline.ae,1.0,True,,
Sundial,Sundial.ai,sundial.ai,1.0,True,,
Veil,Veil.ai,veil.ai,1.0,True,,
Klaus,Klaus AI,klausai.com,1.0,True,,
Mediator.ai,Mediator,mediator.as,1.0,True,,
Output.ai,Output,output.com,1.0,True,,
Codigo,Codigo AI,codigo.ai,1.0,True,,
Vet,Vet-AI,vet-ai.com,1.0,True,,
Tasker,Tasker AI,tasker.ai,1.0,True,,
Bonobo AI,Bonobo,bonobolabs.com,1.0,True,,
